Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,Madhya Pradesh,2021,15-49 years,Both,Maternal and neonatal disorders,Death rank,11,,
All Population,Madhya Pradesh,2021,15-49 years,Both,Maternal and neonatal disorders,Percent of total deaths,0.019707613013932437,0.014942021627808662,0.02509145645909192
All Population,Maharashtra,2021,15-49 years,Both,Maternal and neonatal disorders,Death rank,18,,
All Population,Maharashtra,2021,15-49 years,Both,Maternal and neonatal disorders,Percent of total deaths,0.006563431762509899,0.005048542877526771,0.008502930005293225
All Population,Manipur,2021,15-49 years,Both,Maternal and neonatal disorders,Death rank,14,,
All Population,Manipur,2021,15-49 years,Both,Maternal and neonatal disorders,Percent of total deaths,0.011775068699533138,0.007163602606257139,0.017977346244485472
All Population,Meghalaya,2021,15-49 years,Both,Maternal and neonatal disorders,Death rank,11,,
All Population,Meghalaya,2021,15-49 years,Both,Maternal and neonatal disorders,Percent of total deaths,0.01952019491002075,0.011506264567932337,0.03045152623035471
All Population,Mizoram,2021,15-49 years,Both,Maternal and neonatal disorders,Death rank,17,,
All Population,Mizoram,2021,15-49 years,Both,Maternal and neonatal disorders,Percent of total deaths,0.007715960515508857,0.0037626717825323037,0.013604469755111063
All Population,Nagaland,2021,15-49 years,Both,Maternal and neonatal disorders,Death rank,14,,
All Population,Nagaland,2021,15-49 years,Both,Maternal and neonatal disorders,Percent of total deaths,0.01055620258812146,0.005014075042366493,0.019146197081468398
All Population,Odisha,2021,15-49 years,Both,Maternal and neonatal disorders,Death rank,13,,
All Population,Odisha,2021,15-49 years,Both,Maternal and neonatal disorders,Percent of total deaths,0.01417208423810871,0.011132042355034009,0.018119753833847174
All Population,Other Union Territories,2021,15-49 years,Both,Maternal and neonatal disorders,Death rank,17,,
All Population,Other Union Territories,2021,15-49 years,Both,Maternal and neonatal disorders,Percent of total deaths,0.005192706192085952,0.002948157995571242,0.008231971621497958
All Population,Punjab,2021,15-49 years,Both,Maternal and neonatal disorders,Death rank,16,,
All Population,Punjab,2021,15-49 years,Both,Maternal and neonatal disorders,Percent of total deaths,0.008720234722337674,0.006234759809663608,0.011332237203313836
All Population,Rajasthan,2021,15-49 years,Both,Maternal and neonatal disorders,Death rank,11,,
All Population,Rajasthan,2021,15-49 years,Both,Maternal and neonatal disorders,Percent of total deaths,0.022404502476510352,0.016204333985064254,0.03061266969387854
All Population,Sikkim,2021,15-49 years,Both,Maternal and neonatal disorders,Death rank,13,,
All Population,Sikkim,2021,15-49 years,Both,Maternal and neonatal disorders,Percent of total deaths,0.011783039936129995,0.007423119142319247,0.0176199607973189
All Population,Tamil Nadu,2021,15-49 years,Both,Maternal and neonatal disorders,Death rank,17,,
All Population,Tamil Nadu,2021,15-49 years,Both,Maternal and neonatal disorders,Percent of total deaths,0.004110400772794965,0.0030141650818187545,0.005397633439948234
All Population,Telangana,2021,15-49 years,Both,Maternal and neonatal disorders,Death rank,18,,
All Population,Telangana,2021,15-49 years,Both,Maternal and neonatal disorders,Percent of total deaths,0.0072487475440097164,0.0045133397140755685,0.010523819204898713
All Population,Tripura,2021,15-49 years,Both,Maternal and neonatal disorders,Death rank,13,,
All Population,Tripura,2021,15-49 years,Both,Maternal and neonatal disorders,Percent of total deaths,0.015667769777051897,0.009640180838613007,0.023619832395710312
All Population,Uttar Pradesh,2021,15-49 years,Both,Maternal and neonatal disorders,Death rank,11,,
All Population,Uttar Pradesh,2021,15-49 years,Both,Maternal and neonatal disorders,Percent of total deaths,0.028279901952075984,0.02131525557780422,0.038095913875794286
All Population,Uttarakhand,2021,15-49 years,Both,Maternal and neonatal disorders,Death rank,17,,
All Population,Uttarakhand,2021,15-49 years,Both,Maternal and neonatal disorders,Percent of total deaths,0.0063523990664153315,0.004163958349258571,0.00886904745422285
All Population,West Bengal,2021,15-49 years,Both,Maternal and neonatal disorders,Death rank,14,,
All Population,West Bengal,2021,15-49 years,Both,Maternal and neonatal disorders,Percent of total deaths,0.008199404888701326,0.006224389562826396,0.010832351174565737
All Population,Andhra Pradesh,2021,15-49 years,Both,Nutritional deficiencies,Death rank,21,,
All Population,Andhra Pradesh,2021,15-49 years,Both,Nutritional deficiencies,Percent of total deaths,0.0005224340715133718,0.0003822688373436095,0.000699413421744991
All Population,Arunachal Pradesh,2021,15-49 years,Both,Nutritional deficiencies,Death rank,20,,
All Population,Arunachal Pradesh,2021,15-49 years,Both,Nutritional deficiencies,Percent of total deaths,0.0007016393556187592,0.0005103625816493949,0.0010709155116511377
All Population,Assam,2021,15-49 years,Both,Nutritional deficiencies,Death rank,20,,
All Population,Assam,2021,15-49 years,Both,Nutritional deficiencies,Percent of total deaths,0.0011643972097425991,0.0009097879834151073,0.001493878024593398
All Population,Bihar,2021,15-49 years,Both,Nutritional deficiencies,Death rank,19,,
All Population,Bihar,2021,15-49 years,Both,Nutritional deficiencies,Percent of total deaths,0.0011346134597067857,0.0008218771020176071,0.0015383746025939777
All Population,Chhattisgarh,2021,15-49 years,Both,Nutritional deficiencies,Death rank,20,,
All Population,Chhattisgarh,2021,15-49 years,Both,Nutritional deficiencies,Percent of total deaths,0.0018231331576658272,0.0014184860911932381,0.002299751360250836
All Population,Delhi,2021,15-49 years,Both,Nutritional deficiencies,Death rank,21,,
All Population,Delhi,2021,15-49 years,Both,Nutritional deficiencies,Percent of total deaths,0.0008441261894601273,0.0006179841070791737,0.001066554622303817
All Population,Goa,2021,15-49 years,Both,Nutritional deficiencies,Death rank,20,,
All Population,Goa,2021,15-49 years,Both,Nutritional deficiencies,Percent of total deaths,0.0012488336921483063,0.0008889747395488179,0.0017211697334069654
All Population,Gujarat,2021,15-49 years,Both,Nutritional deficiencies,Death rank,21,,
All Population,Gujarat,2021,15-49 years,Both,Nutritional deficiencies,Percent of total deaths,0.0006318105562863489,0.0005018264377785526,0.0007819988310901621
All Population,Haryana,2021,15-49 years,Both,Nutritional deficiencies,Death rank,19,,
All Population,Haryana,2021,15-49 years,Both,Nutritional deficiencies,Percent of total deaths,0.001401188822545674,0.0011366904589979483,0.0016781653422711837
All Population,Himachal Pradesh,2021,15-49 years,Both,Nutritional deficiencies,Death rank,21,,
All Population,Himachal Pradesh,2021,15-49 years,Both,Nutritional deficiencies,Percent of total deaths,0.00028821982471580323,0.00022659366981165555,0.0003709789834667013
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Nutritional deficiencies,Death rank,21,,
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Nutritional deficiencies,Percent of total deaths,0.000568524170037169,0.0004814402143380088,0.0006898858496700847
All Population,Jharkhand,2021,15-49 years,Both,Nutritional deficiencies,Death rank,19,,
All Population,Jharkhand,2021,15-49 years,Both,Nutritional deficiencies,Percent of total deaths,0.0013312959472261887,0.0010751398994981666,0.0016801413404798993
All Population,Karnataka,2021,15-49 years,Both,Nutritional deficiencies,Death rank,20,,
All Population,Karnataka,2021,15-49 years,Both,Nutritional deficiencies,Percent of total deaths,0.000859681187677693,0.0007190086294109377,0.0010678051591590382
All Population,Kerala,2021,15-49 years,Both,Nutritional deficiencies,Death rank,20,,
All Population,Kerala,2021,15-49 years,Both,Nutritional deficiencies,Percent of total deaths,0.00035736745103354643,0.0002956300022808091,0.00043188767192663705
All Population,Madhya Pradesh,2021,15-49 years,Both,Nutritional deficiencies,Death rank,20,,
All Population,Madhya Pradesh,2021,15-49 years,Both,Nutritional deficiencies,Percent of total deaths,0.0012866948695149836,0.0010094389159009316,0.0016344123480899503
All Population,Maharashtra,2021,15-49 years,Both,Nutritional deficiencies,Death rank,20,,
All Population,Maharashtra,2021,15-49 years,Both,Nutritional deficiencies,Percent of total deaths,0.0012473777073619189,0.001007534015979162,0.0015545988560504989
All Population,Manipur,2021,15-49 years,Both,Nutritional deficiencies,Death rank,19,,
All Population,Manipur,2021,15-49 years,Both,Nutritional deficiencies,Percent of total deaths,0.0007184748756723216,0.0005539847679927074,0.0009205411129583919
All Population,Meghalaya,2021,15-49 years,Both,Nutritional deficiencies,Death rank,21,,
All Population,Meghalaya,2021,15-49 years,Both,Nutritional deficiencies,Percent of total deaths,0.00037639267073637673,0.0002790041341564016,0.0005088739342465859
All Population,Mizoram,2021,15-49 years,Both,Nutritional deficiencies,Death rank,21,,
All Population,Mizoram,2021,15-49 years,Both,Nutritional deficiencies,Percent of total deaths,0.000047563675006627536,0.00003399959396670071,0.00006397783700742515
All Population,Nagaland,2021,15-49 years,Both,Nutritional deficiencies,Death rank,21,,
All Population,Nagaland,2021,15-49 years,Both,Nutritional deficiencies,Percent of total deaths,0.0005553471018064543,0.0004054526459400895,0.000746564480754398
All Population,Odisha,2021,15-49 years,Both,Nutritional deficiencies,Death rank,20,,
All Population,Odisha,2021,15-49 years,Both,Nutritional deficiencies,Percent of total deaths,0.0012825827193523396,0.0009413250174975465,0.0017469675850551548
All Population,Other Union Territories,2021,15-49 years,Both,Nutritional deficiencies,Death rank,21,,
All Population,Other Union Territories,2021,15-49 years,Both,Nutritional deficiencies,Percent of total deaths,0.0006501257101917197,0.0005035369571494171,0.0008542318005227786
All Population,Punjab,2021,15-49 years,Both,Nutritional deficiencies,Death rank,21,,
All Population,Punjab,2021,15-49 years,Both,Nutritional deficiencies,Percent of total deaths,0.0006559030593930142,0.0005169711491711929,0.0008081694363859927
All Population,Rajasthan,2021,15-49 years,Both,Nutritional deficiencies,Death rank,20,,
All Population,Rajasthan,2021,15-49 years,Both,Nutritional deficiencies,Percent of total deaths,0.0007744351775581308,0.0005903905842539827,0.0009848831244406546
All Population,Sikkim,2021,15-49 years,Both,Nutritional deficiencies,Death rank,21,,
All Population,Sikkim,2021,15-49 years,Both,Nutritional deficiencies,Percent of total deaths,0.00022545965062298098,0.00015360629996368435,0.00031816774022627806
All Population,Tamil Nadu,2021,15-49 years,Both,Nutritional deficiencies,Death rank,19,,
All Population,Tamil Nadu,2021,15-49 years,Both,Nutritional deficiencies,Percent of total deaths,0.0015331671117286047,0.0011563449876812086,0.0020485484523851518
All Population,Telangana,2021,15-49 years,Both,Nutritional deficiencies,Death rank,21,,
All Population,Telangana,2021,15-49 years,Both,Nutritional deficiencies,Percent of total deaths,0.0005286832567421799,0.0003626682967436361,0.0007352971126744171
All Population,Tripura,2021,15-49 years,Both,Nutritional deficiencies,Death rank,20,,
All Population,Tripura,2021,15-49 years,Both,Nutritional deficiencies,Percent of total deaths,0.000787572180638581,0.0005785758670396606,0.0010727637352087387
All Population,Uttar Pradesh,2021,15-49 years,Both,Nutritional deficiencies,Death rank,20,,
All Population,Uttar Pradesh,2021,15-49 years,Both,Nutritional deficiencies,Percent of total deaths,0.0015636180727983653,0.0012168171428007207,0.0019802421170952464
All Population,Uttarakhand,2021,15-49 years,Both,Nutritional deficiencies,Death rank,20,,
All Population,Uttarakhand,2021,15-49 years,Both,Nutritional deficiencies,Percent of total deaths,0.0011321541069736142,0.0008826005101634991,0.0014440146085290242
All Population,West Bengal,2021,15-49 years,Both,Nutritional deficiencies,Death rank,20,,
All Population,West Bengal,2021,15-49 years,Both,Nutritional deficiencies,Percent of total deaths,0.0009540886648425249,0.0007754990315670218,0.0011741888420955223
All Population,Andhra Pradesh,2021,15-49 years,Both,Neoplasms,Death rank,4,,
All Population,Andhra Pradesh,2021,15-49 years,Both,Neoplasms,Percent of total deaths,0.0725932338593418,0.06227810243950458,0.08598563351519695
All Population,Arunachal Pradesh,2021,15-49 years,Both,Neoplasms,Death rank,3,,
All Population,Arunachal Pradesh,2021,15-49 years,Both,Neoplasms,Percent of total deaths,0.13097760555789031,0.11669597513703414,0.14512402563165872
All Population,Assam,2021,15-49 years,Both,Neoplasms,Death rank,4,,
All Population,Assam,2021,15-49 years,Both,Neoplasms,Percent of total deaths,0.08885948881839628,0.07937403020078795,0.10063899031964967
All Population,Bihar,2021,15-49 years,Both,Neoplasms,Death rank,4,,
All Population,Bihar,2021,15-49 years,Both,Neoplasms,Percent of total deaths,0.07052383823690243,0.061099703018196956,0.08272328050192872
All Population,Chhattisgarh,2021,15-49 years,Both,Neoplasms,Death rank,5,,
All Population,Chhattisgarh,2021,15-49 years,Both,Neoplasms,Percent of total deaths,0.06931652252158706,0.058868450368780384,0.0784446003628715
All Population,Delhi,2021,15-49 years,Both,Neoplasms,Death rank,3,,
All Population,Delhi,2021,15-49 years,Both,Neoplasms,Percent of total deaths,0.1206568344672873,0.09687548726807683,0.14096088424794323
All Population,Goa,2021,15-49 years,Both,Neoplasms,Death rank,4,,
All Population,Goa,2021,15-49 years,Both,Neoplasms,Percent of total deaths,0.09117840630930703,0.07980526835208518,0.10608703063708999
All Population,Gujarat,2021,15-49 years,Both,Neoplasms,Death rank,4,,
All Population,Gujarat,2021,15-49 years,Both,Neoplasms,Percent of total deaths,0.07797161105169832,0.06953867627716279,0.09275541784519518
All Population,Haryana,2021,15-49 years,Both,Neoplasms,Death rank,4,,
All Population,Haryana,2021,15-49 years,Both,Neoplasms,Percent of total deaths,0.08477554202027736,0.0771355508683189,0.09350535884517203
All Population,Himachal Pradesh,2021,15-49 years,Both,Neoplasms,Death rank,3,,
All Population,Himachal Pradesh,2021,15-49 years,Both,Neoplasms,Percent of total deaths,0.0961438695684356,0.08653314714956045,0.10772243204682065
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Neoplasms,Death rank,4,,
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Neoplasms,Percent of total deaths,0.09016763921067895,0.07982568425674844,0.10185756431623036
All Population,Jharkhand,2021,15-49 years,Both,Neoplasms,Death rank,3,,
All Population,Jharkhand,2021,15-49 years,Both,Neoplasms,Percent of total deaths,0.08668591670404668,0.06967960023558606,0.10735832297987152
All Population,Karnataka,2021,15-49 years,Both,Neoplasms,Death rank,4,,
All Population,Karnataka,2021,15-49 years,Both,Neoplasms,Percent of total deaths,0.08649859008613345,0.07842152828010815,0.0945978480602687
All Population,Kerala,2021,15-49 years,Both,Neoplasms,Death rank,3,,
All Population,Kerala,2021,15-49 years,Both,Neoplasms,Percent of total deaths,0.12837447423697618,0.11675622019714237,0.14277695534615403
All Population,Madhya Pradesh,2021,15-49 years,Both,Neoplasms,Death rank,4,,
All Population,Madhya Pradesh,2021,15-49 years,Both,Neoplasms,Percent of total deaths,0.08252054840934395,0.07422277667719948,0.09236474947205722
All Population,Maharashtra,2021,15-49 years,Both,Neoplasms,Death rank,5,,
All Population,Maharashtra,2021,15-49 years,Both,Neoplasms,Percent of total deaths,0.08276327799611129,0.07492975089589488,0.09229259293596806
All Population,Manipur,2021,15-49 years,Both,Neoplasms,Death rank,8,,
All Population,Manipur,2021,15-49 years,Both,Neoplasms,Percent of total deaths,0.054378671962047785,0.04590966182882227,0.06636844915714685
All Population,Meghalaya,2021,15-49 years,Both,Neoplasms,Death rank,3,,
All Population,Meghalaya,2021,15-49 years,Both,Neoplasms,Percent of total deaths,0.12130598102589633,0.10774474956999429,0.13623342352249598
All Population,Mizoram,2021,15-49 years,Both,Neoplasms,Death rank,2,,
All Population,Mizoram,2021,15-49 years,Both,Neoplasms,Percent of total deaths,0.12832368363776084,0.10224630789690836,0.1522733447762205
All Population,Nagaland,2021,15-49 years,Both,Neoplasms,Death rank,3,,
All Population,Nagaland,2021,15-49 years,Both,Neoplasms,Percent of total deaths,0.12002299177973574,0.10214321902781794,0.13758659542481133
All Population,Odisha,2021,15-49 years,Both,Neoplasms,Death rank,4,,
All Population,Odisha,2021,15-49 years,Both,Neoplasms,Percent of total deaths,0.0859356817893105,0.07729514289538716,0.09455180173333062
All Population,Other Union Territories,2021,15-49 years,Both,Neoplasms,Death rank,5,,
All Population,Other Union Territories,2021,15-49 years,Both,Neoplasms,Percent of total deaths,0.08876231787533824,0.07795087093372063,0.10171479191150919
All Population,Punjab,2021,15-49 years,Both,Neoplasms,Death rank,4,,
All Population,Punjab,2021,15-49 years,Both,Neoplasms,Percent of total deaths,0.0778379015410909,0.07160696515798602,0.08466624576160924
All Population,Rajasthan,2021,15-49 years,Both,Neoplasms,Death rank,4,,
All Population,Rajasthan,2021,15-49 years,Both,Neoplasms,Percent of total deaths,0.08735526533830944,0.0786867320945141,0.09896367416676394
All Population,Sikkim,2021,15-49 years,Both,Neoplasms,Death rank,4,,
All Population,Sikkim,2021,15-49 years,Both,Neoplasms,Percent of total deaths,0.09435221257090916,0.08512487321761367,0.10560509747666852
All Population,Tamil Nadu,2021,15-49 years,Both,Neoplasms,Death rank,5,,
All Population,Tamil Nadu,2021,15-49 years,Both,Neoplasms,Percent of total deaths,0.07673762134612919,0.06858011924589759,0.0892828377522169
All Population,Telangana,2021,15-49 years,Both,Neoplasms,Death rank,5,,
All Population,Telangana,2021,15-49 years,Both,Neoplasms,Percent of total deaths,0.07703117383486863,0.06530519491562661,0.08939913669489974
All Population,Tripura,2021,15-49 years,Both,Neoplasms,Death rank,5,,
All Population,Tripura,2021,15-49 years,Both,Neoplasms,Percent of total deaths,0.06824146465728556,0.06152796702448335,0.07591370068505007
All Population,Uttar Pradesh,2021,15-49 years,Both,Neoplasms,Death rank,3,,
All Population,Uttar Pradesh,2021,15-49 years,Both,Neoplasms,Percent of total deaths,0.08651414411688421,0.0787299450644308,0.094347519418137
All Population,Uttarakhand,2021,15-49 years,Both,Neoplasms,Death rank,4,,
All Population,Uttarakhand,2021,15-49 years,Both,Neoplasms,Percent of total deaths,0.08588154271583542,0.07380805058547305,0.09795915780416704
All Population,West Bengal,2021,15-49 years,Both,Neoplasms,Death rank,4,,
All Population,West Bengal,2021,15-49 years,Both,Neoplasms,Percent of total deaths,0.10400761543068604,0.09366449166212727,0.11613921384256641
All Population,Andhra Pradesh,2021,15-49 years,Both,Cardiovascular diseases,Death rank,1,,
All Population,Andhra Pradesh,2021,15-49 years,Both,Cardiovascular diseases,Percent of total deaths,0.19517785903140927,0.17740093897344805,0.21479871663682096
All Population,Arunachal Pradesh,2021,15-49 years,Both,Cardiovascular diseases,Death rank,4,,
All Population,Arunachal Pradesh,2021,15-49 years,Both,Cardiovascular diseases,Percent of total deaths,0.10605449603612004,0.09275238378317731,0.12625349119689716
All Population,Assam,2021,15-49 years,Both,Cardiovascular diseases,Death rank,3,,
All Population,Assam,2021,15-49 years,Both,Cardiovascular diseases,Percent of total deaths,0.13499195791790736,0.12190311632469561,0.1480177728381968
All Population,Bihar,2021,15-49 years,Both,Cardiovascular diseases,Death rank,2,,
All Population,Bihar,2021,15-49 years,Both,Cardiovascular diseases,Percent of total deaths,0.14713573873122607,0.13233092826643933,0.16283081822021542
All Population,Chhattisgarh,2021,15-49 years,Both,Cardiovascular diseases,Death rank,2,,
All Population,Chhattisgarh,2021,15-49 years,Both,Cardiovascular diseases,Percent of total deaths,0.14526269358056298,0.12229198912841292,0.16507330296853082
All Population,Delhi,2021,15-49 years,Both,Cardiovascular diseases,Death rank,2,,
All Population,Delhi,2021,15-49 years,Both,Cardiovascular diseases,Percent of total deaths,0.16404041477028827,0.13310487693396017,0.1915739783406958
All Population,Goa,2021,15-49 years,Both,Cardiovascular diseases,Death rank,2,,
All Population,Goa,2021,15-49 years,Both,Cardiovascular diseases,Percent of total deaths,0.15535505840236466,0.13788980927806951,0.17995571088622625
All Population,Gujarat,2021,15-49 years,Both,Cardiovascular diseases,Death rank,1,,
All Population,Gujarat,2021,15-49 years,Both,Cardiovascular diseases,Percent of total deaths,0.21412974543452448,0.19981769323416804,0.23124972320365977
All Population,Haryana,2021,15-49 years,Both,Cardiovascular diseases,Death rank,2,,
All Population,Haryana,2021,15-49 years,Both,Cardiovascular diseases,Percent of total deaths,0.19479704569763706,0.17789404556114793,0.21039497157354817
All Population,Himachal Pradesh,2021,15-49 years,Both,Cardiovascular diseases,Death rank,2,,
All Population,Himachal Pradesh,2021,15-49 years,Both,Cardiovascular diseases,Percent of total deaths,0.17082184599187744,0.1552009585569626,0.18634533962252997
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Cardiovascular diseases,Death rank,1,,
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Cardiovascular diseases,Percent of total deaths,0.19932092999565645,0.1819861026407747,0.21627241677286704
All Population,Jharkhand,2021,15-49 years,Both,Cardiovascular diseases,Death rank,2,,
All Population,Jharkhand,2021,15-49 years,Both,Cardiovascular diseases,Percent of total deaths,0.12652438747052516,0.11175626974740556,0.14599244877594852
All Population,Karnataka,2021,15-49 years,Both,Cardiovascular diseases,Death rank,1,,
All Population,Karnataka,2021,15-49 years,Both,Cardiovascular diseases,Percent of total deaths,0.19931465723410238,0.18388751707236242,0.21380350429727116
All Population,Kerala,2021,15-49 years,Both,Cardiovascular diseases,Death rank,2,,
All Population,Kerala,2021,15-49 years,Both,Cardiovascular diseases,Percent of total deaths,0.19999168704835385,0.1848052602508461,0.2191915894906697
All Population,Madhya Pradesh,2021,15-49 years,Both,Cardiovascular diseases,Death rank,2,,
All Population,Madhya Pradesh,2021,15-49 years,Both,Cardiovascular diseases,Percent of total deaths,0.15799480129338506,0.14352254993802363,0.17205178421885314
All Population,Maharashtra,2021,15-49 years,Both,Cardiovascular diseases,Death rank,2,,
All Population,Maharashtra,2021,15-49 years,Both,Cardiovascular diseases,Percent of total deaths,0.17061323092125205,0.15650290998180547,0.1853055559689353
All Population,Manipur,2021,15-49 years,Both,Cardiovascular diseases,Death rank,3,,
All Population,Manipur,2021,15-49 years,Both,Cardiovascular diseases,Percent of total deaths,0.11906647918517103,0.10368000410131877,0.1363607209917344
All Population,Meghalaya,2021,15-49 years,Both,Cardiovascular diseases,Death rank,4,,
All Population,Meghalaya,2021,15-49 years,Both,Cardiovascular diseases,Percent of total deaths,0.09956300592605698,0.08868062462586701,0.11159066710122072
All Population,Mizoram,2021,15-49 years,Both,Cardiovascular diseases,Death rank,6,,
All Population,Mizoram,2021,15-49 years,Both,Cardiovascular diseases,Percent of total deaths,0.050657153687052196,0.04199999970579802,0.060129557404339465
All Population,Nagaland,2021,15-49 years,Both,Cardiovascular diseases,Death rank,4,,
All Population,Nagaland,2021,15-49 years,Both,Cardiovascular diseases,Percent of total deaths,0.10625681414834036,0.09160021711165384,0.12224570578328507
All Population,Odisha,2021,15-49 years,Both,Cardiovascular diseases,Death rank,2,,
All Population,Odisha,2021,15-49 years,Both,Cardiovascular diseases,Percent of total deaths,0.14118340359949666,0.12585829607770607,0.15710745978474946
All Population,Other Union Territories,2021,15-49 years,Both,Cardiovascular diseases,Death rank,2,,
All Population,Other Union Territories,2021,15-49 years,Both,Cardiovascular diseases,Percent of total deaths,0.1620972536720357,0.14633329872626982,0.1876204378125195
All Population,Punjab,2021,15-49 years,Both,Cardiovascular diseases,Death rank,1,,
All Population,Punjab,2021,15-49 years,Both,Cardiovascular diseases,Percent of total deaths,0.285402025517617,0.2675906233222898,0.3016928042529379
All Population,Rajasthan,2021,15-49 years,Both,Cardiovascular diseases,Death rank,2,,
All Population,Rajasthan,2021,15-49 years,Both,Cardiovascular diseases,Percent of total deaths,0.14662750068962746,0.1334019842109831,0.16218643912761294
All Population,Sikkim,2021,15-49 years,Both,Cardiovascular diseases,Death rank,3,,
All Population,Sikkim,2021,15-49 years,Both,Cardiovascular diseases,Percent of total deaths,0.11231642021936492,0.09824918559628457,0.1333117645956756
All Population,Tamil Nadu,2021,15-49 years,Both,Cardiovascular diseases,Death rank,1,,
All Population,Tamil Nadu,2021,15-49 years,Both,Cardiovascular diseases,Percent of total deaths,0.21388218736724446,0.19771343708912634,0.2303987461562821
All Population,Telangana,2021,15-49 years,Both,Cardiovascular diseases,Death rank,1,,
All Population,Telangana,2021,15-49 years,Both,Cardiovascular diseases,Percent of total deaths,0.21985043622446543,0.19586120975998733,0.2399653903023038
All Population,Tripura,2021,15-49 years,Both,Cardiovascular diseases,Death rank,1,,
All Population,Tripura,2021,15-49 years,Both,Cardiovascular diseases,Percent of total deaths,0.1903287978117296,0.17307496827932214,0.20822914829777128
All Population,Uttar Pradesh,2021,15-49 years,Both,Cardiovascular diseases,Death rank,2,,
All Population,Uttar Pradesh,2021,15-49 years,Both,Cardiovascular diseases,Percent of total deaths,0.1233264409548527,0.11294249448463138,0.13412377255134453
All Population,Uttarakhand,2021,15-49 years,Both,Cardiovascular diseases,Death rank,2,,
All Population,Uttarakhand,2021,15-49 years,Both,Cardiovascular diseases,Percent of total deaths,0.1576547610015606,0.14247495497020604,0.17462607701702504
All Population,West Bengal,2021,15-49 years,Both,Cardiovascular diseases,Death rank,1,,
All Population,West Bengal,2021,15-49 years,Both,Cardiovascular diseases,Percent of total deaths,0.2249973301986175,0.20824775208238183,0.24092783129113357
All Population,Andhra Pradesh,2021,15-49 years,Both,Chronic respiratory diseases,Death rank,13,,
All Population,Andhra Pradesh,2021,15-49 years,Both,Chronic respiratory diseases,Percent of total deaths,0.018778545065092262,0.015626076615502412,0.024518697508994276
All Population,Arunachal Pradesh,2021,15-49 years,Both,Chronic respiratory diseases,Death rank,12,,
All Population,Arunachal Pradesh,2021,15-49 years,Both,Chronic respiratory diseases,Percent of total deaths,0.018873790921592252,0.015958320023488345,0.025090595318394547
All Population,Assam,2021,15-49 years,Both,Chronic respiratory diseases,Death rank,11,,
All Population,Assam,2021,15-49 years,Both,Chronic respiratory diseases,Percent of total deaths,0.02201114989900644,0.01890015234002548,0.026841247459115595
All Population,Bihar,2021,15-49 years,Both,Chronic respiratory diseases,Death rank,12,,
All Population,Bihar,2021,15-49 years,Both,Chronic respiratory diseases,Percent of total deaths,0.02214557872409641,0.019033378602578935,0.02646470351804022
All Population,Chhattisgarh,2021,15-49 years,Both,Chronic respiratory diseases,Death rank,12,,
All Population,Chhattisgarh,2021,15-49 years,Both,Chronic respiratory diseases,Percent of total deaths,0.018778755712820065,0.015570381686271449,0.02353270711567463
All Population,Delhi,2021,15-49 years,Both,Chronic respiratory diseases,Death rank,12,,
All Population,Delhi,2021,15-49 years,Both,Chronic respiratory diseases,Percent of total deaths,0.020187036670278883,0.016281347398172465,0.02443525622609347
All Population,Goa,2021,15-49 years,Both,Chronic respiratory diseases,Death rank,10,,
All Population,Goa,2021,15-49 years,Both,Chronic respiratory diseases,Percent of total deaths,0.010270172960802822,0.008587155343645625,0.013026339455856066
All Population,Gujarat,2021,15-49 years,Both,Chronic respiratory diseases,Death rank,10,,
All Population,Gujarat,2021,15-49 years,Both,Chronic respiratory diseases,Percent of total deaths,0.02793941468443748,0.024496986162752577,0.03198499596409747
All Population,Haryana,2021,15-49 years,Both,Chronic respiratory diseases,Death rank,10,,
All Population,Haryana,2021,15-49 years,Both,Chronic respiratory diseases,Percent of total deaths,0.022897584909089778,0.019662205516158517,0.026789003191538912
All Population,Himachal Pradesh,2021,15-49 years,Both,Chronic respiratory diseases,Death rank,9,,
All Population,Himachal Pradesh,2021,15-49 years,Both,Chronic respiratory diseases,Percent of total deaths,0.03452950353892342,0.029719335984098472,0.042027166401551644
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Chronic respiratory diseases,Death rank,9,,
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Chronic respiratory diseases,Percent of total deaths,0.03542626531134558,0.029560950007936175,0.04331699745511731
All Population,Jharkhand,2021,15-49 years,Both,Chronic respiratory diseases,Death rank,10,,
All Population,Jharkhand,2021,15-49 years,Both,Chronic respiratory diseases,Percent of total deaths,0.023493165905308314,0.018259882671086126,0.03424507511653305
All Population,Karnataka,2021,15-49 years,Both,Chronic respiratory diseases,Death rank,11,,
All Population,Karnataka,2021,15-49 years,Both,Chronic respiratory diseases,Percent of total deaths,0.02117224041372189,0.01810613261252034,0.0248616564944682
All Population,Kerala,2021,15-49 years,Both,Chronic respiratory diseases,Death rank,10,,
