Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,Sikkim,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Death rank,19,,
All Population,Sikkim,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Percent of total deaths,0.0007242309483296029,0.00021945546007407827,0.0022529992367472
All Population,Tamil Nadu,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Death rank,12,,
All Population,Tamil Nadu,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Percent of total deaths,0.012439324029614177,0.008642889872577397,0.01869164415624761
All Population,Telangana,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Death rank,7,,
All Population,Telangana,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Percent of total deaths,0.0712313470016773,0.03493241455529359,0.13167207840150086
All Population,Tripura,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Death rank,21,,
All Population,Tripura,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Percent of total deaths,0.0004369422221802548,0.00019883599515554165,0.0010512460798117386
All Population,Uttar Pradesh,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Death rank,19,,
All Population,Uttar Pradesh,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Percent of total deaths,0.001849714014565563,0.000895492994553025,0.0038348767607119124
All Population,Uttarakhand,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Death rank,13,,
All Population,Uttarakhand,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Percent of total deaths,0.013367798614390757,0.005838374208736373,0.031800012468254785
All Population,West Bengal,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Death rank,15,,
All Population,West Bengal,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Percent of total deaths,0.00815469686933697,0.002639412133459244,0.02432359765280334
All Population,Andhra Pradesh,2021,15-49 years,Both,Respiratory infections and tuberculosis,Death rank,2,,
All Population,Andhra Pradesh,2021,15-49 years,Both,Respiratory infections and tuberculosis,Percent of total deaths,0.193695662237877,0.16720960961829817,0.2224864427136265
All Population,Arunachal Pradesh,2021,15-49 years,Both,Respiratory infections and tuberculosis,Death rank,1,,
All Population,Arunachal Pradesh,2021,15-49 years,Both,Respiratory infections and tuberculosis,Percent of total deaths,0.1805770972639502,0.1497555400255491,0.22218922905098337
All Population,Assam,2021,15-49 years,Both,Respiratory infections and tuberculosis,Death rank,1,,
All Population,Assam,2021,15-49 years,Both,Respiratory infections and tuberculosis,Percent of total deaths,0.23977828306237253,0.2205303984880252,0.2646812035724924
All Population,Bihar,2021,15-49 years,Both,Respiratory infections and tuberculosis,Death rank,1,,
All Population,Bihar,2021,15-49 years,Both,Respiratory infections and tuberculosis,Percent of total deaths,0.23724860030708703,0.21437138260669725,0.25973480840656926
All Population,Chhattisgarh,2021,15-49 years,Both,Respiratory infections and tuberculosis,Death rank,1,,
All Population,Chhattisgarh,2021,15-49 years,Both,Respiratory infections and tuberculosis,Percent of total deaths,0.2331283949666617,0.2114281010158432,0.2564036452238969
All Population,Delhi,2021,15-49 years,Both,Respiratory infections and tuberculosis,Death rank,1,,
All Population,Delhi,2021,15-49 years,Both,Respiratory infections and tuberculosis,Percent of total deaths,0.20297046097161597,0.17532776117410645,0.23708112911990809
All Population,Goa,2021,15-49 years,Both,Respiratory infections and tuberculosis,Death rank,1,,
All Population,Goa,2021,15-49 years,Both,Respiratory infections and tuberculosis,Percent of total deaths,0.2800636746948667,0.24046064313325335,0.3227750555871176
All Population,Gujarat,2021,15-49 years,Both,Respiratory infections and tuberculosis,Death rank,2,,
All Population,Gujarat,2021,15-49 years,Both,Respiratory infections and tuberculosis,Percent of total deaths,0.2121663665019247,0.18430269966545762,0.24260255532019193
All Population,Haryana,2021,15-49 years,Both,Respiratory infections and tuberculosis,Death rank,1,,
All Population,Haryana,2021,15-49 years,Both,Respiratory infections and tuberculosis,Percent of total deaths,0.22125480555584742,0.20000929034516704,0.2483950145793587
All Population,Himachal Pradesh,2021,15-49 years,Both,Respiratory infections and tuberculosis,Death rank,1,,
All Population,Himachal Pradesh,2021,15-49 years,Both,Respiratory infections and tuberculosis,Percent of total deaths,0.2098069862222164,0.19096082538077494,0.23042290167399312
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Respiratory infections and tuberculosis,Death rank,2,,
